iter	Passed	Remaining
0	1	125
1	2	121
2	3	120
3	4	115
4	6	114
5	6	109
6	7	104
7	8	100
8	9	97
9	10	95
10	11	94
11	12	93
12	13	91
13	14	89
14	15	88
15	16	86
16	17	85
17	18	85
18	19	84
19	20	83
20	21	82
21	23	82
22	24	82
23	25	82
24	27	81
25	28	81
26	30	81
27	31	80
28	32	79
29	33	79
30	35	78
31	36	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	73
37	44	71
38	45	70
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	58	54
52	59	53
53	60	51
54	61	50
55	62	49
56	63	48
57	64	47
58	65	45
59	67	44
60	68	43
61	68	42
62	69	41
63	70	39
64	71	38
65	73	37
66	73	36
67	74	35
68	76	34
69	77	33
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
