iter	Passed	Remaining
0	137	137167
1	139	69479
2	140	46640
3	141	35247
4	142	28364
5	143	23820
6	144	20551
7	145	18092
8	146	16166
9	147	14620
10	148	13360
11	149	12309
12	150	11431
13	151	10671
14	152	10014
15	153	9442
16	154	8932
17	155	8480
18	156	8077
19	157	7711
20	158	7382
21	159	7082
22	160	6807
23	161	6560
24	162	6335
25	163	6128
26	164	5935
27	165	5750
28	166	5579
29	167	5420
30	168	5275
31	169	5141
32	171	5012
33	172	4889
34	173	4771
35	174	4659
36	175	4554
37	175	4454
38	176	4358
39	177	4268
40	178	4179
41	179	4096
42	180	4017
43	181	3939
44	182	3867
45	183	3797
46	184	3734
47	185	3673
48	186	3611
49	186	3551
50	187	3494
51	188	3440
52	189	3386
53	190	3336
54	191	3288
55	192	3242
56	193	3197
57	194	3153
58	195	3110
59	195	3070
60	196	3032
61	198	2996
62	199	2963
63	200	2929
64	201	2896
65	202	2862
66	203	2830
67	204	2798
68	205	2768
69	206	2738
70	207	2710
71	208	2683
72	209	2656
73	210	2630
74	211	2605
75	212	2581
76	213	2556
77	214	2533
78	215	2512
79	216	2489
80	217	2467
81	218	2445
82	218	2418
83	219	2398
84	220	2378
85	221	2358
86	222	2338
87	223	2318
88	224	2300
89	225	2282
90	226	2262
91	227	2244
92	228	2226
93	229	2209
94	230	2193
95	231	2176
96	232	2160
97	232	2143
98	233	2127
99	234	2112
100	235	2097
101	236	2082
102	237	2067
103	238	2053
104	239	2038
105	240	2025
106	241	2012
107	242	1999
108	242	1985
109	243	1972
110	244	1960
111	245	1948
112	246	1935
113	247	1923
114	248	1910
115	249	1898
116	249	1885
117	250	1874
118	251	1863
119	252	1852
120	253	1842
121	254	1831
122	255	1820
123	256	1810
124	257	1799
125	258	1789
126	258	1778
127	259	1769
128	260	1761
129	261	1751
130	262	1741
131	263	1731
132	264	1722
133	265	1713
134	266	1705
135	266	1696
136	267	1687
137	268	1679
138	269	1670
139	270	1662
140	271	1654
141	272	1643
142	272	1635
143	273	1628
144	274	1621
145	275	1614
146	276	1606
147	277	1598
148	278	1590
149	279	1582
150	280	1575
151	281	1568
152	282	1561
153	282	1553
154	283	1546
155	284	1539
156	285	1532
157	286	1526
158	287	1519
159	288	1513
160	288	1505
161	289	1499
162	291	1494
163	291	1488
164	292	1481
165	293	1475
166	294	1469
167	295	1463
168	296	1457
169	297	1451
170	298	1445
171	299	1439
172	299	1433
173	300	1427
174	301	1421
175	302	1416
176	303	1411
177	304	1405
178	305	1400
179	306	1395
180	307	1390
181	308	1384
182	308	1379
183	309	1373
184	310	1368
185	311	1362
186	312	1357
187	313	1352
188	314	1347
189	315	1342
190	315	1338
191	317	1334
192	318	1329
193	318	1325
194	320	1321
195	321	1317
196	322	1312
197	323	1308
198	324	1304
199	325	1300
200	326	1296
201	327	1292
202	328	1288
203	329	1284
204	330	1280
205	331	1276
206	332	1272
207	333	1269
208	334	1265
209	335	1261
210	336	1257
211	337	1253
212	338	1249
213	339	1245
214	340	1241
215	341	1237
216	341	1233
217	342	1229
218	343	1225
219	344	1222
220	345	1218
221	346	1214
222	347	1210
223	348	1206
224	349	1203
225	350	1199
226	351	1196
227	352	1193
228	353	1189
229	354	1185
230	355	1182
231	356	1178
232	356	1175
233	357	1171
234	359	1168
235	360	1165
236	360	1162
237	361	1158
238	362	1155
239	363	1151
240	364	1148
241	365	1146
242	366	1143
243	367	1139
244	368	1136
